ID,associatedWithOccupation,contactDetails,description,endDate,function,name,sourceRecordLink,startDate,type,url,warning,workCount
Q8271527,,,Australian band,,,26,https://www.wikidata.org/wiki/Q8271527,,musical group,,,
Q4562027,,,Australian pop-rock band,,,1927,https://www.wikidata.org/wiki/Q4562027,1/1/1987,musical group,,,
Q22080866,,,,,,#1 Dads,https://www.wikidata.org/wiki/Q22080866,1/1/2010,musical group,,,
Q16243871,,,,,,1200 Techniques,https://www.wikidata.org/wiki/Q16243871,,musical group,,,
Q3598658,,,,,,28 Days,https://www.wikidata.org/wiki/Q3598658,1/1/1997,musical group,,,
Q4634523,,,,,,30 Odd Foot of Grunts,https://www.wikidata.org/wiki/Q4634523,,musical group,,,
Q15781064,,,,,,4Arm,https://www.wikidata.org/wiki/Q15781064,,musical group,,,
Q4641147,,,Australian pop rock band,,,5 Seconds of Summer,https://www.wikidata.org/wiki/Q4641147,1/1/2011,musical group,,,
Q4639871,,,,,,50 Lions,https://www.wikidata.org/wiki/Q4639871,1/1/2005,musical group,,,
Q4642271,,,Australian rock band,,,67 Special,https://www.wikidata.org/wiki/Q4642271,,musical group,,,
Q4643668,,,,,,78 Saab,https://www.wikidata.org/wiki/Q4643668,,musical group,,,
Q19871547,,,Australian metalcore band,,,A Breach of Silence,https://www.wikidata.org/wiki/Q19871547,1/1/2010,musical group,,,
Q51029153,,,,,,A Night in Texas,https://www.wikidata.org/wiki/Q51029153,,musical group,,,
Q51029626,,,,,,A Secret Death,https://www.wikidata.org/wiki/Q51029626,,musical group,,,
Q27947644,,,Australian hip-hop group,,,A.B. Original,https://www.wikidata.org/wiki/Q27947644,,musical group,,,
Q4650232,,,,,,ABC Sinfonia,https://www.wikidata.org/wiki/Q4650232,1/1/1967,musical group,,,
Q1101997,,,Australian black/death metal band,,,Abominator,https://www.wikidata.org/wiki/Q1101997,1/1/1994,musical group,,,
Q4669395,,,Australian death metal band,,,Abramelin,https://www.wikidata.org/wiki/Q4669395,1/1/1988,musical group,,,
Q4669709,,,band,,,Absent Friends,https://www.wikidata.org/wiki/Q4669709,1/1/1989,musical group,,,
Q336505,,,Australian band,,,Abyssic Hate,https://www.wikidata.org/wiki/Q336505,,musical group,,,
Q9138691,,,,,,Abyssmal Sorrow,https://www.wikidata.org/wiki/Q9138691,,musical group,,,
Q27593,,,Australian hard rock band,,,AC/DC,https://www.wikidata.org/wiki/Q27593,31/12/1973,musical group,,,
Q66265347,,,Australian Hip-Hop Group,,,Accradata,https://www.wikidata.org/wiki/Q66265347,1/1/2006,musical group,,,
Q4677865,,,country rock band,,,Acuff's Rose,https://www.wikidata.org/wiki/Q4677865,1/1/1991,musical group,,,
Q20312164,,,,,,Adam Eckersley Band,https://www.wikidata.org/wiki/Q20312164,1/1/2010,musical group,,,
Q4679720,,,Australian indie rock band,,,Adam Said Galore,https://www.wikidata.org/wiki/Q4679720,,musical group,,,
Q3701065,,,,,,Addictive,https://www.wikidata.org/wiki/Q3701065,1/1/1987,musical group,,,
Q60785708,,,,,,Adelaide Chamber Singers,https://www.wikidata.org/wiki/Q60785708,,musical group,,,
Q60785636,,,,,,Adelaide Connection,https://www.wikidata.org/wiki/Q60785636,,musical group,,,
Q2367942,,,Symphony orchestra based in Adelaide,,,Adelaide Symphony Orchestra,https://www.wikidata.org/wiki/Q2367942,1/1/1936,musical group,,,
Q4681814,,,,,,Adelaide Youth Orchestra,https://www.wikidata.org/wiki/Q4681814,,musical group,,,
Q4681862,,,,,,Adele&Glenn,https://www.wikidata.org/wiki/Q4681862,1/1/2011,musical group,,,
Q4690638,,,,,,After the Fall,https://www.wikidata.org/wiki/Q4690638,,musical group,,,
Q4691009,,,,,,Against,https://www.wikidata.org/wiki/Q4691009,,musical group,,,
Q391580,,,band,,,Agatus,https://www.wikidata.org/wiki/Q391580,,musical group,,,
Q4697108,,,,,,Aim 4 More,https://www.wikidata.org/wiki/Q4697108,,musical group,,,
Q38211317,,,band and military unit of the Royal Australian Air Force,,,Air Force Band,https://www.wikidata.org/wiki/Q38211317,,musical group,,,
Q407814,,,British-Australian soft rock group,,,Air Supply,https://www.wikidata.org/wiki/Q407814,1/1/1975,musical group,,,
Q408139,,,Australian hard rock band,,,Airbourne,https://www.wikidata.org/wiki/Q408139,1/1/2003,musical group,,,
Q4699064,,,,,,Airway Lanes,https://www.wikidata.org/wiki/Q4699064,,musical group,,,
Q4699558,,,Australian Sydney-based all-female band,,,Ajaqa,https://www.wikidata.org/wiki/Q4699558,,musical group,,,
Q28421951,,,,,,Akin,https://www.wikidata.org/wiki/Q28421951,,musical group,,,
Q4705415,,,,,,Alabaster Box,https://www.wikidata.org/wiki/Q4705415,,musical group,,,
Q1627125,,,band,,,Alarum,https://www.wikidata.org/wiki/Q1627125,1/1/1992,musical group,,,
Q783871,,,Australian progressive metal band,,,Alchemist,https://www.wikidata.org/wiki/Q783871,1/1/1987,musical group,,,
Q4716586,,,,,,Alex & Nilusha,https://www.wikidata.org/wiki/Q4716586,1/1/2008,musical group,,,
Q4717955,,,,,,Alex Watts & the Foreign Tongue,https://www.wikidata.org/wiki/Q4717955,,musical group,,,
Q4728979,,,Australian electronic band,,,All India Radio,https://www.wikidata.org/wiki/Q4728979,,musical group,,,
