ID,biography,birthDate,contactDetails,culturalHeritage,deathDate,ethnicity,familyName,gender,individualName,occupation,sourceRecordLink,title,warning,workCount
KAFPD_P10010,"Composer, ""Ginger Meggs"" (1982). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Kim Thraves,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10028,"Executive Producer, ""Westermarck Effect"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Alex Radwill,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10029,"Writer, ""Animals"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Kinomatics Camera Department (KCD) Dataset.",,,,,,,,Emma Jane Unsworth,Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10030,"Producer, ""The Long Lunch"" (2001); Producer, ""Nowhere Boys: The Book Of Shadows"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Beth Frey,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10033,"Executive Producer, ""The Pack"" (2015). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Dale Roberts,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10048,"Executive Producer, ""Charlie’s Farm"" (2014). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Laurence Duggan,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10052,"Executive Producer, ""Drown"" (2015). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Nicole Harcourt,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10061,"Editor, ""Foreshadow"" (2013); Editor, ""Three Summers"" (2017). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Peter Pritchard,Editor,https://zenodo.org/records/11093655,,,
KAFPD_P10083,"Production Designer, ""Alex"" (1992). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Kim Sinclair,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10091,"Executive Producer, ""I Wish I Were Stephanie V"" (2009). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Giulia Sivis,Executive Producer,https://zenodo.org/records/11093655,,,
