ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
KAFPD_F93468,,,,,,"WENDY CRACKED A WALNUT (also known as ...ALMOST) is an Australian Comedy, Romantic comedy film released in 1990. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0098959. Wikidata ID: Q15039829.",,,,,,,,"WENDY CRACKED A WALNUT, 1990",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F29669,,,,,,"TEN CANOES (also known as 10 CANOES) is an Australian Action adventure, Comedy film released in 2006. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0466399. Wikidata ID: Q169087.",,,,,,,,"TEN CANOES, 2006",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F63507,,,,,,"THIRTEENTH FLOOR, THE (also known as 13TH FLOOR, THE) is an Australian Action adventure, Horror, Thriller film released in 1988. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0094591. Wikidata ID: Q7711759.",,,,,,,,"THIRTEENTH FLOOR, THE, 1988",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F34653,,,,,,"WHEEL, THE (also known as 2099: THE SOLDIER PROTOCOL) is an Australian Action adventure, Sci-Fi film released in 2019. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt6437228. Wikidata ID: Q122491586.",,,,,,,,"WHEEL, THE, 2019",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F17458,,,,,,"OZ (also known as 20TH CENTURY OZ) is an Australian Comedy film released in 1976. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0075030. Wikidata ID: Q7116409.",,,,,,,,"OZ, 1976",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F91236,,,,,,"SEANCE (also known as 6:66: SEANCE HOUR) is an Australian Drama, Mystery, Thriller film released in 2011. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt1912464. Wikidata ID: Q127600326.",,,,,,,,"SEANCE, 2011",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F41878,,,,,,"GUARDIANS OF THE TOMB (also known as 7 GUARDIANS OF THE TOMB) is an Australian Action adventure film released in 2018. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt4915672. Wikidata ID: Q28961087.",,,,,,,,"GUARDIANS OF THE TOMB, 2018",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F97168,,,,,,"SEVENTH FLOOR, THE (also known as 7TH FLOOR, THE) is an Australian Thriller film released in 1994. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0111133. Wikidata ID: Q4413002.",,,,,,,,"SEVENTH FLOOR, THE, 1994",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F21838,,,,,,"HARMONY (also known as ABSOLUTION) is an Australian Fantasy, Romance, Thriller film released in 2018. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt5583554. Wikidata ID: Q56596889.",,,,,,,,"HARMONY, 2018",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F77208,,,,,,"ADORATION (also known as ADORE) is an Australian Drama film released in 2013. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt2103267. Wikidata ID: Q3233052.",,,,,,,,"ADORATION, 2013",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F30553,,,,,,"WAIL AWAY (also known as AFFLICTION) is an Australian Horror, Thriller film released in 2012. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt2605302. Wikidata ID: Q127599941.",,,,,,,,"WAIL AWAY, 2012",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F55021,,,,,,"AGAINST THE GRAIN: MORE MEAT THAN WHEAT (also known as AGAINST THE GRAIN) is an Australian Drama film released in 1981. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0299452. Wikidata ID: Q20022600.",,,,,,,,"AGAINST THE GRAIN: MORE MEAT THAN WHEAT, 1981",,https://zenodo.org/records/13994280,,,,Feature Film,
KAFPD_F68817,,,,,,"EPSILON (also known as ALIEN VISITOR) is an Australian Drama film released in 1997. This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. IMBD ID: tt0112974. Wikidata ID: Q3415982.",,,,,,,,"EPSILON, 1997",,https://zenodo.org/records/13994280,,,,Feature Film,
